ID,Name,RetailValue,WholesaleValue,Year,Count,UnitRetailValue,UnitWholesaleValue,Description,IsSummary,IsUnique,Container,Bag,GroupPreSort
1,Assorted Mint Sets,280,84,,28,10,3,,TRUE,FALSE,Large Bag,1,
1a,Mint Set,20,6,1970,2,10,3,proof set - loose,FALSE,FALSE,,,
1b,Mint Set,20,6,1970,2,10,3,proof set - loose,FALSE,FALSE,,,
1c,Mint Set,10,3,1970,1,10,3,proof set - case,FALSE,FALSE,,,
1d,Mint Set,20,6,1972,2,10,3,proof set - loose,FALSE,FALSE,,,
1e,Mint Set,10,3,1972,1,10,3,proof set - case,FALSE,FALSE,,,
1f,Mint Set,20,6,1973,2,10,3,proof set - loose,FALSE,FALSE,,,
1g,Mint Set,10,3,1973,1,10,3,proof set - case,FALSE,FALSE,,,
1h,Mint Set,20,6,1974,2,10,3,proof set - loose,FALSE,FALSE,,,
1i,Mint Set,10,3,1974,1,10,3,proof set - case,FALSE,FALSE,,,
1j,Mint Set,20,6,1976,2,10,3,proof set - loose,FALSE,FALSE,,,
1k,Mint Set,10,3,1976,1,10,3,proof set (1 of 2) - loose,FALSE,FALSE,,,
1l,Mint Set,10,3,1976,1,10,3,proof set - loose,FALSE,FALSE,,,
1m,Mint Set,20,6,1977,2,10,3,proof set - loose,FALSE,FALSE,,,
1n,Mint Set,10,3,1977,1,10,3,proof set (1 of 2) - loose,FALSE,FALSE,,,
1o,Mint Set,10,3,1977,1,10,3,proof set - case,FALSE,FALSE,,,
1s,Mint Set,10,3,1982,1,10,3,proof set - case,FALSE,FALSE,,,
1t,Mint Set,10,3,1983,1,10,3,proof set - case,FALSE,FALSE,,,
1v,Mint Set,10,3,1984,1,10,3,proof set - case,FALSE,FALSE,,,
1w,Mint Set,10,3,1984,1,10,3,proof set - case,FALSE,FALSE,,,
1x,Mint Set,10,3,1984,1,10,3,proof set - case,FALSE,FALSE,,,
1y,Mint Set,10,3,1985,1,10,3,proof set - case,FALSE,FALSE,,,
2,Generic Morgan Dollar,480,240,1921,16,30,15,,TRUE,FALSE,Large Bag,2,
2a,Generic Morgan Dollar (1921),90,45,1921,3,30,15,loose coins,FALSE,FALSE,,,
2b,Generic Morgan Dollar (1921),90,45,1921,3,30,15,loose coins,FALSE,FALSE,,,
2c,Generic Morgan Dollar (1921),60,30,1921,2,30,15,loose coins,FALSE,FALSE,,,
2d,Generic Morgan Dollar (1921),60,30,1921,2,30,15,loose coins,FALSE,FALSE,,,
2e,Generic Morgan Dollar (1921),60,30,1921,2,30,15,loose coins,FALSE,FALSE,,,
2f,Generic Morgan Dollar (1921),60,30,1921,2,30,15,loose coins,FALSE,FALSE,,,
2g,Generic Morgan Dollar (1921),60,30,1921,2,30,15,loose coins,FALSE,FALSE,,,
2h,Generic Morgan Dollar (1899),40,25,1899,1,40,25,loose coins,FALSE,TRUE,Large Bag,2,
2i,Generic Morgan Dollar (1888),40,25,1888,1,40,25,loose coins,FALSE,TRUE,Large Bag,2,
3,Generic Peace Dollar,784,420,1922-1934,28,28,15,,TRUE,FALSE,Large Bag,3,
3a,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3b,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3c,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3d,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3e,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3f,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
3g,Generic Peace Dollar,112,60,1922-1934,4,28,15,,FALSE,FALSE,,,
4,Peace Dollar (AG),30,16,1935,1,30,16,,FALSE,TRUE,Large Bag,3,
5,Silver Half,187.5,112.5,1942-1964,15,12.5,7.5,,TRUE,FALSE,Large Bag,4,
5a,Silver Half,37.5,22.5,1942-1964,3,12.5,7.5,,FALSE,FALSE,,,
5b,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
5c,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
5d,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
5e,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
5f,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
5g,Silver Half,25,15,1942-1964,2,12.5,7.5,,FALSE,FALSE,,,
6,Half Cent,80,48,1805,1,80,48,,FALSE,TRUE,Large Bag,4,
7,Silver Quarter,275,165,1909-1964,44,6.25,3.75,,TRUE,FALSE,Large Bag,5,
7a,Silver Quarter,43.75,26.25,1909-1964,7,6.25,3.75,,FALSE,FALSE,,,
7b,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
7c,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
7d,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
7e,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
7f,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
7g,Silver Quarter,37.5,22.5,1909-1964,6,6.25,3.75,,FALSE,FALSE,,,
8,Roll of Generic Wheat Cents,6,2,,2,3,1,one sleave of 50c and 59c in loose,TRUE,FALSE,Large Bag,6,
8a,Roll of Generic Wheat Cents,3,1,1936,1,3,1,one sleave of 50c,FALSE,TRUE,,,
9a,Generic Wheat Cents,1.08,0.36,1930s-1950s,9,0.12,0.04,,FALSE,FALSE,,,
