Cmd Args:   Retail SplitItems true true 7 CoinCollectionInventory-Simple-AdditionalPresort.csv
Share Retail Value Standard Deviation:   0.004948716593037713
Share Wholesale Value Standard Deviation:   3.105574316730273

Share ID:   1
Retail Value:   $393.72
Wholesale Value:   $209.83
Key,Id,SubId,Name,RetailValue,WholesaleValue,UnitRetailValue,UnitWholesaleValue,Year,Count,Description,IsSummary,IsUnique,GroupPreSort
2a,2a,,Generic Morgan Dollar (1921),60,30,30,15,1921,2,loose coins,False,False,-1
3,3,,Generic Peace Dollar,112,60,28,15,1922-1934,4,,False,False,-1
5,5,,Silver Half,37.5,22.5,12.5,7.5,1942-1964,3,,False,False,-1
7,7,,Silver Quarter,37.5,22.5,6.25,3.75,1909-1964,6,,False,False,-1
9,9,,Generic Wheat Cents,0.96,0.32,0.12,0.04,1930s-1950s,8,,False,False,-1
11,11,,War Nickle,2,0.5,1,0.25,1942-1945,2,,False,False,-1
12,12,,Buffalo Nickle,5,1.25,1,0.25,1916-1929,5,,False,False,-1
13,13,,Silver Dime,45,27,2.5,1.5,1910s-1950s,18,,False,False,-1
14,14,,V Nickles,2,0.5,1,0.25,1900s-1910s,2,,False,False,-1
cash,cash,,Face Value Cash,1.26,1.26,0.01,0.01,,126,,False,False,-1
20,20,,Modern Half,1.5,1.5,0.5,0.5,1972-1976,3,,False,False,-1
2h,2h,,Generic Morgan Dollar (1899),40,25,40,25,1899,1,loose coins,False,True,1
10e,10e,,40% Half,5,3,5,3,1968,1,,False,False,1
17a,17a,,Eisenhower Dollars,1,1,1,1,1971,1,,False,False,1
1c,1c,,Mint Set,10,3,10,3,1970,1,proof set - case,False,False,-1
1h,1h,,Mint Set,10,3,10,3,1974,1,proof set - loose,False,False,-1
1t,1t,,Mint Set,10,3,10,3,1983,1,proof set - case,False,False,-1
1k,1k,,Mint Set,10,3,10,3,1976,1,"""proof set (1 of 2) - loose""",False,False,-1
16a,16a,,Silver Certificate,3,1.5,3,1.5,1957,1,,False,False,-1


Share ID:   2
Retail Value:   $393.71
Wholesale Value:   $208.07
2a,2a,,Generic Morgan Dollar (1921),60,30,30,15,1921,2,loose coins,False,False,-1
3,3,,Generic Peace Dollar,140,75,28,15,1922-1934,5,,False,False,-1
5,5,,Silver Half,12.5,7.5,12.5,7.5,1942-1964,1,,False,False,-1
7,7,,Silver Quarter,37.5,22.5,6.25,3.75,1909-1964,6,,False,False,-1
